creneau_id,id_session,dateExam,h_debut,h_fin,type_ex,semestre,enseignant,cod_salle
59,1,13/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,135,A407
60,1,13/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,135,A408
61,1,13/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,143,A131
62,1,13/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,143,A124
63,1,13/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,219,A405
64,1,13/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,219,A406
65,1,13/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,219,A407
66,1,13/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,219,A408
67,1,13/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,375,A405
68,1,13/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,375,A406
69,1,13/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,375,A407
70,1,13/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,375,A408
71,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,8,A206
72,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,8,A207
73,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,20,A131
74,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,20,A124
75,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,20,B401
76,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,20,A102
77,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,24,B302
78,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,24,B303
79,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,24,B401
80,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,33,A206
81,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,33,A206
82,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,33,A207
83,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,33,A206
84,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,33,A208
85,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,33,A207
86,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,33,A207
87,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,33,A208
88,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,33,A208
89,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,37,A208
90,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,37,A209
91,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,38,A208
92,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,38,A209
93,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,40,A102
94,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,40,A124
95,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,40,A131
96,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,40,A209
97,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,44,A206
98,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,44,A207
99,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,45,A405
100,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,45,A406
101,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,45,A407
102,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,45,A408
103,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,52,B302
104,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,52,B303
105,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,71,B302
106,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,71,B303
107,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,74,A206
108,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,74,A206
109,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,74,A207
110,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,74,A206
111,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,74,A208
112,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,74,A207
113,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,74,A207
114,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,74,A208
115,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,74,A208
116,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,86,B203
117,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,86,B203
118,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,90,A131
119,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,90,A124
120,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,90,B401
121,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,90,A102
122,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,91,A102
123,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,91,A124
124,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,91,A131
125,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,91,A209
126,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,96,B302
127,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,96,B303
128,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,96,B401
129,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,96,A405
130,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,96,A406
131,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,96,A407
132,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,96,A408
133,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,98,A405
134,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,98,A406
135,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,98,A407
136,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,98,A408
137,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,116,A405
138,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,116,A406
139,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,116,A407
140,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,116,A408
141,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,0,B302
142,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,0,B303
143,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,6,A206
144,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,6,A206
145,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,6,A207
146,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,6,A206
147,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,6,A208
148,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,6,A207
149,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,6,A207
150,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,6,A208
151,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,6,A208
152,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,8,A206
153,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,8,A207
154,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,9,A102
155,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,9,A124
156,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,9,A131
157,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,9,A209
158,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,9,A102
159,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,11,B401
160,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,23,B302
161,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,23,B303
162,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,23,B401
163,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,35,A208
164,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,35,A209
165,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,43,B302
166,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,43,B303
167,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,43,B401
168,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,44,A102
169,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,58,A206
170,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,58,A207
171,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,63,B203
172,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,63,B203
173,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,66,B302
174,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,66,B303
175,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,71,B401
176,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,74,A131
177,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,74,A124
178,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,75,A405
179,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,75,A406
180,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,75,A407
181,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,75,A408
182,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,78,A206
183,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,78,A206
184,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,78,A207
185,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,78,A206
186,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,78,A208
187,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,78,A207
188,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,78,A207
189,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,78,A208
190,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,78,A208
191,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,89,A405
192,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,89,A406
193,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,89,A407
194,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,89,A408
195,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,117,A405
196,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,117,A406
197,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,117,A407
198,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,117,A408
199,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,219,A405
200,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,219,A406
201,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,219,A407
202,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,219,A408
203,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,223,A102
204,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,223,A124
205,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,223,A131
206,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,223,A209
207,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,232,A131
208,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,232,A124
209,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,350,A208
210,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,350,A209
211,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,1,B203
212,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,12,A206
213,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,12,A206
214,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,12,A207
215,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,12,A207
216,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,12,A208
217,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,12,A206
218,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,12,A208
219,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,12,A207
220,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,12,A208
221,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,13,B302
222,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,13,B303
223,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,13,B401
224,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,17,A405
225,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,17,A406
226,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,17,A407
227,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,17,A408
228,1,16/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,24,B401
229,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,25,A102
230,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,25,A124
231,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,25,A131
232,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,25,A209
233,1,16/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,25,B401
234,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,32,A206
235,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,32,A207
236,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,32,A206
237,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,32,A208
238,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,32,A206
239,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,32,A207
240,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,32,A207
241,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,32,A208
242,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,32,A208
243,1,16/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,36,A208
